trip_id,segment_id,route_id,route_name,stop_sequence,route_id_in_processed_reference,stops_in_processed_reference,official_route_membership,official_stop_sequence,road_route_polyline,geometry_method,median_distance_to_reference_stops_m,p95_distance_to_reference_stops_m,max_distance_to_reference_stops_m,status_reason
trip_000324,1,421,Seoul city bus 421,Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1350.365,2114.336,2292.930,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000325,1,7016,Seoul city bus 7016,"건대입구역사거리, 건대병원 > 동교동삼거리연희동방면 > 공덕역(중) > 서울역11번출구",PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1037.756,3870.329,4334.955,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000326,1,740,Seoul city bus 740,약수역2번출구.가온도서관 > 연신내역.연서시장,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1509.985,3541.034,3892.499,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000327,1,402,Seoul city bus 402,창동이마트 > 시청덕수궁 > 강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2221.690,4165.161,4821.768,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000328,1,143,Seoul city bus 143,압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,727.626,1463.169,1544.597,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000329,1,740,Seoul city bus 740,약수역2번출구.가온도서관 > 연신내역.연서시장 > 시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1934.386,3522.923,3915.821,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000330,1,7016,Seoul city bus 7016,"건대입구역사거리, 건대병원 > 동교동삼거리연희동방면",PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1410.948,4077.242,4327.597,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000331,1,421,Seoul city bus 421,압구정역4번출구 > Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1190.718,2098.835,2310.657,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000332,1,421,Seoul city bus 421,Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1362.620,2115.777,2286.715,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000333,1,402,Seoul city bus 402,창동이마트 > 시청덕수궁 > 강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2232.771,4153.239,4804.461,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000334,1,7016,Seoul city bus 7016,공덕역(중) > 서울역11번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,602.303,1098.897,1155.722,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000335,1,421,Seoul city bus 421,Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1372.419,2116.161,2288.855,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000336,1,740,Seoul city bus 740,약수역2번출구.가온도서관 > 연신내역.연서시장 > 시청덕수궁,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1926.343,3717.452,3908.111,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000337,1,143,Seoul city bus 143,압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,705.594,1424.398,1542.534,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000338,1,402,Seoul city bus 402,시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2088.057,4124.089,4355.917,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000339,1,143,Seoul city bus 143,창동이마트 > 왕십리민자역사 > 압구정역4번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1767.869,4761.529,5010.982,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000340,1,7016,Seoul city bus 7016,동교동삼거리연희동방면 > 공덕역(중) > 서울역11번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,638.542,1192.747,1320.019,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000341,1,421,Seoul city bus 421,Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1389.964,2113.526,2294.593,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000342,1,143,Seoul city bus 143,왕십리민자역사 > 압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,919.833,1853.506,2019.939,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000343,1,402,Seoul city bus 402,시청덕수궁 > 강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2168.064,4063.558,4367.741,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000344,1,402,Seoul city bus 402,강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2005.029,3943.265,4190.902,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000345,1,740,Seoul city bus 740,연신내역.연서시장 > 시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2018.027,3455.798,3865.225,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000346,1,7016,Seoul city bus 7016,공덕역(중) > 서울역11번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,553.331,1083.317,1158.997,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000347,1,740,Seoul city bus 740,연신내역.연서시장 > 시청덕수궁,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1832.611,3637.995,3872.033,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000348,1,143,Seoul city bus 143,창동이마트 > 왕십리민자역사 > 압구정역4번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1767.495,4745.846,5013.647,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000349,1,143,Seoul city bus 143,압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,727.369,1448.845,1542.676,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000350,1,740,Seoul city bus 740,약수역2번출구.가온도서관 > 연신내역.연서시장 > 시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1898.976,3477.657,3905.931,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000351,1,402,Seoul city bus 402,강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1966.636,3942.374,4187.930,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000352,1,402,Seoul city bus 402,창동이마트 > 시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2415.873,4378.649,4805.296,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000353,1,7016,Seoul city bus 7016,"건대입구역사거리, 건대병원 > 동교동삼거리연희동방면 > 공덕역(중)",PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1256.533,3975.985,4336.842,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000354,1,143,Seoul city bus 143,창동이마트 > 왕십리민자역사 > 압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1447.695,4641.271,4990.567,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000355,1,740,Seoul city bus 740,연신내역.연서시장 > 시청덕수궁,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1804.615,3632.271,3868.400,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000356,1,402,Seoul city bus 402,강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1927.395,3928.248,4183.591,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000357,1,421,Seoul city bus 421,압구정역4번출구 > Airport Bus,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1152.176,1799.048,1893.020,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000358,1,402,Seoul city bus 402,강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2055.831,3910.688,4186.991,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000359,1,740,Seoul city bus 740,연신내역.연서시장 > 시청덕수궁,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1841.555,3617.796,3857.221,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000360,1,143,Seoul city bus 143,창동이마트 > 왕십리민자역사 > 압구정역4번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1752.357,4733.885,5012.515,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000361,1,143,Seoul city bus 143,창동이마트 > 왕십리민자역사 > 압구정역4번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1776.093,4729.720,5011.180,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000362,1,421,Seoul city bus 421,압구정역4번출구 > Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1182.546,2092.591,2300.801,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000363,1,402,Seoul city bus 402,시청덕수궁 > 강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2225.381,4047.393,4352.601,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000364,1,7016,Seoul city bus 7016,"건대입구역사거리, 건대병원 > 동교동삼거리연희동방면",PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1406.060,4078.133,4339.580,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000365,1,740,Seoul city bus 740,연신내역.연서시장 > 시청덕수궁,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1806.502,3621.687,3861.930,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000366,1,7016,Seoul city bus 7016,동교동삼거리연희동방면 > 공덕역(중) > 서울역11번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,625.483,1207.104,1323.048,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000367,1,143,Seoul city bus 143,왕십리민자역사 > 압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,932.778,1870.796,2019.425,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000368,1,421,Seoul city bus 421,약수역2번출구.가온도서관 > 압구정역4번출구 > Airport Bus,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1010.059,1708.719,1890.183,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000369,1,402,Seoul city bus 402,강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1965.757,3942.392,4175.234,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000370,1,143,Seoul city bus 143,창동이마트 > 왕십리민자역사 > 압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1421.213,4657.230,5002.132,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000371,1,143,Seoul city bus 143,왕십리민자역사 > 압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,936.075,1856.147,2017.556,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000372,1,402,Seoul city bus 402,시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2153.300,4101.332,4355.238,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000373,1,143,Seoul city bus 143,왕십리민자역사 > 압구정역4번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,966.629,1900.020,2019.700,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000374,1,402,Seoul city bus 402,강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1987.176,3903.865,4179.137,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000375,1,143,Seoul city bus 143,압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,718.398,1434.480,1538.086,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000376,1,143,Seoul city bus 143,창동이마트 > 왕십리민자역사 > 압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1414.821,4652.909,5011.728,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000377,1,402,Seoul city bus 402,창동이마트 > 시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2407.608,4343.795,4817.127,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000378,1,402,Seoul city bus 402,강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1980.844,3936.753,4193.119,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000379,1,421,Seoul city bus 421,Airport Bus > 청량리미주상가앞,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1415.485,2122.995,2297.134,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000380,1,402,Seoul city bus 402,시청덕수궁 > 강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2210.741,4071.033,4364.704,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000381,1,7016,Seoul city bus 7016,공덕역(중) > 서울역11번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,514.539,1079.661,1158.140,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000382,1,143,Seoul city bus 143,압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,779.625,1445.961,1535.500,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000383,1,7016,Seoul city bus 7016,동교동삼거리연희동방면 > 공덕역(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,646.256,1252.740,1326.938,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000384,1,143,Seoul city bus 143,압구정역4번출구 > 고속터미널(중),PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,715.677,1439.003,1547.725,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000385,1,7016,Seoul city bus 7016,동교동삼거리연희동방면 > 공덕역(중) > 서울역11번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,641.078,1203.018,1329.382,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000386,1,421,Seoul city bus 421,약수역2번출구.가온도서관 > 압구정역4번출구 > Airport Bus,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1012.051,1717.292,1898.830,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000387,1,402,Seoul city bus 402,시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,2089.818,4081.893,4342.388,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000388,1,421,Seoul city bus 421,약수역2번출구.가온도서관 > 압구정역4번출구 > Airport Bus,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1033.410,1712.493,1891.923,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000389,1,402,Seoul city bus 402,강남역 > 동대문역.2번출구,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1945.799,3920.340,4185.795,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
trip_000390,1,740,Seoul city bus 740,연신내역.연서시장 > 시청덕수궁 > 강남역,PASS,PASS,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,piecewise straight interpolation between selected OSM stop coordinates,1960.477,3440.355,3861.520,"public route ID and OSM stop positions are present, but the official Seoul route file was not imported"
