trip_id,segment_id,scenario_type,line,boarding_station,alighting_station,station_sequence,gps_point_count,start_distance_to_expected_station_m,end_distance_to_expected_station_m,median_distance_to_nearest_expected_station_m,p95_distance_to_nearest_expected_station_m,max_distance_to_nearest_expected_station_m,stored_reference_order,actual_line5_order,status_reason
trip_000452,1,rail,line_7,고속터미널,가산디지털단지,고속터미널 > 이수 > 가산디지털단지,216,1.632,26.437,1235.333,3992.817,4365.087,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000453,1,rail,line_9,김포공항,여의도,김포공항 > 여의도,256,9.928,2.631,2206.253,5430.569,5835.781,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000454,1,rail,line_4,명동,사당,명동 > 서울역 > 사당,200,14.893,4.194,1122.716,3914.997,4255.918,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000455,1,rail,line_1,시청,동대문,시청 > 종각 > 종로3가 > 동대문,79,2.317,8.373,245.493,742.492,841.460,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000456,1,rail,line_3,불광,교대,불광 > 종로3가 > 압구정 > 고속터미널 > 교대,339,2.390,1.982,1063.418,3090.167,3535.686,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000457,1,rail,line_9,고속터미널,신논현,고속터미널 > 신논현,37,13.777,8.638,294.162,794.290,835.929,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000458,1,rail,line_6,약수,태릉입구,약수 > 태릉입구,172,13.953,13.075,1701.409,4200.414,4487.269,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000459,1,rail,line_9,김포공항,신논현,김포공항 > 여의도 > 노량진 > 고속터미널 > 신논현,529,2.275,3.425,1487.351,5222.139,5861.200,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000460,1,rail,line_2,삼성,왕십리,삼성 > 왕십리,144,1.341,27.717,883.733,1851.486,2033.176,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000461,1,rail,line_2,강남,삼성,강남 > 선릉 > 삼성,80,8.118,14.027,366.063,887.689,986.989,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000462,1,rail,line_3,교대,일원,교대 > 양재 > 일원,154,8.845,10.445,687.824,1995.242,2215.700,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000463,1,rail,line_5,공덕,왕십리,공덕 > 여의도 > 왕십리,279,5.416,6.548,1351.964,3625.585,4020.721,PASS,FAIL,"compact Line 5 reference has Gongdeok before Yeouido, which reverses the real selected order"
trip_000464,1,rail,line_2,합정,시청,합정 > 신촌 > 시청,130,6.372,22.434,494.653,1378.687,1546.209,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000465,1,rail,line_2,신촌,왕십리,신촌 > 시청 > 을지로입구 > 잠실 > 성수 > 건대입구 > 강남 > 선릉 > 삼성 > 왕십리,688,18.971,7.354,1014.900,2101.025,2694.395,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000466,1,rail,line_3,양재,일원,양재 > 일원,94,2.915,3.629,813.759,2042.614,2215.185,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000467,1,rail,line_6,공덕,이태원,공덕 > 이태원,89,3.862,17.635,700.837,1841.238,1984.450,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000468,1,rail,line_4,명동,사당,명동 > 서울역 > 사당,216,8.758,6.646,1110.404,3877.275,4209.264,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000469,1,rail,line_3,불광,일원,불광 > 종로3가 > 압구정 > 고속터미널 > 교대 > 양재 > 일원,544,8.494,14.604,1081.490,2972.176,3555.370,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000470,1,rail,line_6,공덕,태릉입구,공덕 > 이태원 > 약수 > 태릉입구,355,5.074,13.900,1239.559,4040.237,4501.039,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000471,1,rail,line_2,건대입구,삼성,건대입구 > 강남 > 선릉 > 삼성,238,2.269,5.801,670.888,1855.023,2022.728,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000472,1,rail,line_9,고속터미널,신논현,고속터미널 > 신논현,46,2.359,6.018,314.996,788.140,845.503,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000473,1,rail,line_1,종로3가,청량리,종로3가 > 동대문 > 청량리,105,4.024,2.681,528.109,1523.630,1663.288,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000474,1,rail,line_4,명동,사당,명동 > 서울역 > 사당,269,2.435,4.310,1186.127,3910.958,4252.044,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000475,1,rail,line_3,종로3가,일원,종로3가 > 압구정 > 고속터미널 > 교대 > 양재 > 일원,443,1.709,12.143,897.201,2524.671,2930.460,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000476,1,rail,line_9,노량진,고속터미널,노량진 > 고속터미널,156,1.844,7.789,1067.183,2612.460,2801.792,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000477,1,rail,line_2,강남,왕십리,강남 > 선릉 > 삼성 > 왕십리,188,3.046,3.884,730.706,1722.268,2016.945,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000478,1,rail,line_4,창동,명동,창동 > 동대문역사문화공원 > 명동,255,1.817,9.362,1406.814,4698.608,5146.594,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000479,1,rail,line_3,양재,일원,양재 > 일원,97,1.746,4.177,796.943,2058.566,2199.123,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000480,1,rail,line_6,이태원,태릉입구,이태원 > 약수 > 태릉입구,278,10.465,3.185,1178.436,4135.801,4504.154,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000481,1,rail,line_1,종각,청량리,종각 > 종로3가 > 동대문 > 청량리,137,6.076,3.759,425.586,1495.001,1681.961,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000482,1,rail,line_5,김포공항,마곡나루,김포공항 > 마곡나루,64,7.370,3.730,434.310,1104.868,1189.155,PASS,PASS,selected station order compared with known Line 5 order
trip_000483,1,rail,line_4,서울역,사당,서울역 > 사당,155,3.677,2.293,1549.391,3909.091,4255.487,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000484,1,rail,line_5,김포공항,공덕,김포공항 > 마곡나루 > 공덕,251,8.380,10.379,1486.249,4732.212,5118.291,PASS,PASS,selected station order compared with known Line 5 order
trip_000485,1,rail,line_4,명동,서울역,명동 > 서울역,32,8.305,4.449,258.439,687.450,735.742,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000486,1,rail,line_2,삼성,왕십리,삼성 > 왕십리,123,8.429,8.075,898.556,1852.846,2024.534,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000487,1,rail,line_1,동대문,청량리,동대문 > 청량리,64,4.759,23.717,617.147,1526.614,1657.994,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000488,1,rail,line_2,을지로입구,왕십리,을지로입구 > 잠실 > 성수 > 건대입구 > 강남 > 선릉 > 삼성 > 왕십리,830,12.654,11.103,1108.621,2227.903,2700.375,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000489,1,rail,line_7,건대입구,이수,건대입구 > 고속터미널 > 이수,197,0.077,7.682,1052.728,3179.200,3500.843,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000490,1,rail,line_9,고속터미널,신논현,고속터미널 > 신논현,29,2.523,7.825,318.654,759.606,853.214,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000491,1,rail,line_3,종로3가,일원,종로3가 > 압구정 > 고속터미널 > 교대 > 양재 > 일원,302,31.818,7.196,889.077,2557.558,2901.941,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000492,1,rail,line_9,여의도,노량진,여의도 > 노량진,37,0.570,1.824,309.614,804.578,874.830,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000493,1,rail,line_1,서울역,시청,서울역 > 시청,27,9.777,10.203,251.259,652.429,722.919,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000494,1,rail,line_4,서울역,사당,서울역 > 사당,187,5.939,8.105,1600.889,3957.089,4243.090,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000495,1,rail,line_1,종로3가,청량리,종로3가 > 동대문 > 청량리,117,0.690,13.316,551.939,1523.674,1690.856,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000496,1,rail,line_6,이태원,태릉입구,이태원 > 약수 > 태릉입구,269,19.592,8.518,1168.482,4119.498,4501.960,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000497,1,rail,line_4,명동,서울역,명동 > 서울역,36,5.302,15.724,280.042,675.468,731.827,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000498,1,rail,line_9,여의도,고속터미널,여의도 > 노량진 > 고속터미널,137,18.193,20.093,703.844,2462.977,2790.887,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000499,1,rail,line_1,서울역,종각,서울역 > 시청 > 종각,59,12.063,6.390,235.459,649.440,713.515,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000500,1,rail,line_7,이수,가산디지털단지,이수 > 가산디지털단지,210,8.070,14.150,1636.850,4072.898,4386.803,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000502,3,multimodal,line_6,이태원,태릉입구,이태원 > 약수 > 태릉입구,320,3295.205,22.406,1668.679,4034.265,4509.958,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000503,2,multimodal,line_2,홍대입구,을지로입구,홍대입구 > 합정 > 신촌 > 시청 > 을지로입구,236,4509.846,36.262,515.487,1435.298,1552.624,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000505,2,multimodal,line_7,고속터미널,이수,고속터미널 > 이수,356,17006.826,26.595,6645.473,10128.662,10559.408,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000506,2,multimodal,line_5,여의도,왕십리,여의도 > 왕십리,428,7343.110,5.301,2513.512,5966.022,6414.448,PASS,PASS,selected station order compared with known Line 5 order
trip_000507,2,multimodal,line_5,김포공항,공덕,김포공항 > 마곡나루 > 공덕,691,21894.535,17.739,2969.528,4920.343,5714.064,PASS,PASS,selected station order compared with known Line 5 order
trip_000509,2,multimodal,line_5,여의도,왕십리,여의도 > 왕십리,324,3201.094,8.632,1668.779,3635.056,4038.172,PASS,PASS,selected station order compared with known Line 5 order
trip_000511,3,multimodal,line_9,여의도,고속터미널,여의도 > 노량진 > 고속터미널,156,28.312,24.312,692.200,2551.810,2789.578,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000513,3,multimodal,line_9,김포공항,고속터미널,김포공항 > 여의도 > 노량진 > 고속터미널,748,21104.522,25.931,1527.028,5193.060,5838.018,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000514,3,multimodal,line_1,종로3가,청량리,종로3가 > 동대문 > 청량리,251,8248.861,15.444,1551.200,7312.137,7679.483,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000515,2,multimodal,line_5,공덕,여의도,공덕 > 여의도,211,8438.977,16.345,2712.407,6966.775,7141.192,PASS,FAIL,"compact Line 5 reference has Gongdeok before Yeouido, which reverses the real selected order"
trip_000516,2,multimodal,line_6,이태원,약수,이태원 > 약수,323,13857.381,15.503,2989.705,4678.139,5086.844,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000517,2,multimodal,line_9,여의도,노량진,여의도 > 노량진,390,13090.679,22.423,3104.700,5392.413,5729.601,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000518,3,multimodal,line_3,교대,양재,교대 > 양재,118,3808.781,7.063,675.907,1541.584,1621.820,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000520,3,multimodal,line_6,합정,약수,합정 > 공덕 > 이태원 > 약수,458,9003.893,12.995,1422.852,2845.142,3230.153,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000521,3,multimodal,line_5,마곡나루,공덕,마곡나루 > 공덕,613,21585.074,31.316,2544.428,4804.503,5269.956,PASS,PASS,selected station order compared with known Line 5 order
trip_000523,3,multimodal,line_7,건대입구,이수,건대입구 > 고속터미널 > 이수,507,15817.790,3.031,3323.619,14037.201,14669.852,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000524,2,multimodal,line_7,건대입구,가산디지털단지,건대입구 > 고속터미널 > 이수 > 가산디지털단지,758,10584.160,19.256,1430.812,3720.561,4391.436,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000525,2,multimodal,line_3,압구정,교대,압구정 > 고속터미널 > 교대,230,6469.368,49.852,1507.577,3834.298,4012.458,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000526,2,multimodal,line_1,종각,청량리,종각 > 종로3가 > 동대문 > 청량리,131,735.101,3.780,386.381,1484.570,1678.429,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000528,2,multimodal,line_7,건대입구,이수,건대입구 > 고속터미널 > 이수,300,1381.672,19.124,996.861,3085.527,3501.831,PASS,NOT_VERIFIABLE_FULL_REFERENCE,compact station reference has no complete line geometry or full station sequence
trip_000533,2,multimodal,line_5,여의도,왕십리,여의도 > 왕십리,443,11690.034,8.659,1702.462,4292.066,4949.047,PASS,PASS,selected station order compared with known Line 5 order
